t70 w10 gold=10 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(13.4,-15.4) works={"boiler_house":2,"turret":2} alive=17 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t71 w10 gold=10 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(13.2,-15.4) works={"boiler_house":2,"turret":2} alive=17 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t72 w10 gold=10 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(9.1,-15.1) works={"boiler_house":2,"turret":2} alive=18 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t73 w10 gold=10 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(8.9,-15.1) works={"boiler_house":2,"turret":2} alive=18 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t74 w10 gold=10 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(8.1,-15.1) works={"boiler_house":2,"turret":2} alive=17 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail=FAILED: REPAIR_UNDER action was rejected. boss=-
t75 w10 gold=10 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(4.9,-15.5) works={"boiler_house":2,"turret":2} alive=17 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail=FAILED: REPAIR_UNDER action was rejected. boss=-
t76 w10 gold=10 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(5.3,-15.4) works={"boiler_house":2,"turret":2} alive=17 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t77 w10 gold=10 hp=154/175 lvl=18 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer=stockpile_seam_survey|powder_charge|beacon_handoff pros=(-12.8,-18.2) works={"boiler_house":2,"turret":2} alive=15 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail=FAILED: REPAIR_UNDER action was rejected. boss=-
t78 w11 gold=10 hp=154/175 lvl=18 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer=stockpile_seam_survey|powder_charge|beacon_handoff pros=(-9.5,-17.7) works={"boiler_house":2,"turret":2} alive=34 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t79 w11 gold=10 hp=146/175 lvl=18 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2,"stockpile_seam_survey":1} offer= pros=(-11.2,-23.6) works={"boiler_house":2,"turret":2} alive=25 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail=FAILED: REPAIR_UNDER action was rejected. boss=-
