(node:93508) ExperimentalWarning: localStorage is not available because --localstorage-file was not provided.
(Use `node --trace-warnings ...` to show where the warning was created)
t0 s0 w0 gold=0 hp=100 works=0/0 alive=0 wheel=spin/240 crossings=000 att=0 pros=(-2,-31) decoy=-
t63 s180 w5 gold=66 hp=4 works=5/5 alive=3 wheel=spin/240 crossings=400 att=21 pros=(2,-26) decoy=-3.3,-26.52
t64 s180 w6 gold=66 hp=4 works=5/5 alive=14 wheel=spin/240 crossings=400 att=21 pros=(2,-27) decoy=-3.3,-26.52
t65 s185 w6 gold=1 hp=4 works=7/7 alive=11 wheel=spin/240 crossings=400 att=24 pros=(-3,-22) decoy=-3.3,-26.52
t66 s185 w6 gold=1 hp=4 works=7/7 alive=10 wheel=spin/240 crossings=400 att=24 pros=(-3,-21) decoy=-3.3,-26.52
t67 s185 w6 gold=1 hp=4 works=7/7 alive=10 wheel=spin/240 crossings=400 att=24 pros=(-3,-21) decoy=-3.3,-26.52
t68 s186 w6 gold=1 hp=4 works=7/7 alive=8 wheel=spin/240 crossings=400 att=24 pros=(-4,-18) decoy=-3.3,-26.52
t69 s186 w6 gold=1 hp=4 works=7/7 alive=8 wheel=spin/240 crossings=400 att=24 pros=(-4,-20) decoy=-3.3,-26.52
t70 s186 w6 gold=1 hp=4 works=7/7 alive=8 wheel=spin/240 crossings=400 att=24 pros=(-4,-20) decoy=-3.3,-26.52
t71 s186 w6 gold=1 hp=4 works=7/7 alive=7 wheel=spin/240 crossings=400 att=24 pros=(-4,-21) decoy=-3.3,-26.52
t72 s187 w6 gold=1 hp=4 works=7/7 alive=5 wheel=spin/240 crossings=400 att=24 pros=(-4,-19) decoy=-3.3,-26.52
t73 s187 w6 gold=1 hp=4 works=7/7 alive=4 wheel=spin/240 crossings=400 att=24 pros=(-4,-21) decoy=-3.3,-26.52
t74 s188 w6 gold=1 hp=4 works=6/7 alive=3 wheel=spin/240 crossings=400 att=24 pros=(-5,-18) decoy=-3.3,-26.52
t75 s193 w6 gold=1 hp=4 works=6/7 alive=10 wheel=spin/240 crossings=400 att=24 pros=(-8,3) decoy=-3.3,-26.52
t76 s194 w6 gold=1 hp=4 works=6/7 alive=8 wheel=spin/240 crossings=400 att=24 pros=(-7,-2) decoy=-3.3,-26.52
t77 s207 w6 gold=31 hp=4 works=6/7 alive=4 wheel=spin/240 crossings=400 att=27 pros=(-9,7) decoy=-3.3,-26.52
t78 s210 w6 gold=31 hp=4 works=6/7 alive=4 wheel=spin/240 crossings=400 att=27 pros=(-7,-7) decoy=-3.3,-26.52
t79 s210 w7 gold=31 hp=29 works=6/7 alive=16 wheel=spin/240 crossings=400 att=27 pros=(-7,-8) decoy=-3.3,-26.52
t80 s222 w7 gold=31 hp=29 works=9/10 alive=15 wheel=spin/240 crossings=400 att=27 pros=(18,-7) decoy=-3.3,-26.52
t81 s223 w7 gold=31 hp=29 works=9/10 alive=14 wheel=spin/240 crossings=400 att=27 pros=(16,-11) decoy=-3.3,-26.52
t82 s223 w7 gold=31 hp=29 works=9/10 alive=14 wheel=spin/240 crossings=400 att=27 pros=(16,-11) decoy=-3.3,-26.52
t83 s223 w7 gold=31 hp=29 works=9/10 alive=15 wheel=spin/240 crossings=400 att=27 pros=(15,-12) decoy=-3.3,-26.52
t84 s224 w7 gold=31 hp=29 works=9/10 alive=13 wheel=spin/240 crossings=400 att=27 pros=(14,-14) decoy=-3.3,-26.52
t85 s224 w7 gold=31 hp=29 works=9/10 alive=13 wheel=spin/240 crossings=400 att=27 pros=(13,-16) decoy=-3.3,-26.52
t86 s224 w7 gold=31 hp=29 works=9/10 alive=12 wheel=spin/240 crossings=400 att=27 pros=(13,-16) decoy=-3.3,-26.52
t87 s224 w7 gold=31 hp=29 works=9/10 alive=12 wheel=spin/240 crossings=400 att=27 pros=(12,-17) decoy=-3.3,-26.52
t88 s225 w7 gold=31 hp=54 works=9/10 alive=12 wheel=spin/240 crossings=400 att=27 pros=(12,-18) decoy=-3.3,-26.52
t89 s225 w7 gold=31 hp=54 works=9/10 alive=10 wheel=spin/240 crossings=400 att=27 pros=(11,-20) decoy=-3.3,-26.52
t90 s226 w7 gold=31 hp=54 works=9/10 alive=9 wheel=spin/240 crossings=400 att=27 pros=(9,-23) decoy=-3.3,-26.52
t91 s227 w7 gold=31 hp=54 works=9/10 alive=8 wheel=spin/240 crossings=400 att=27 pros=(7,-26) decoy=-3.3,-26.52
t92 s227 w7 gold=31 hp=54 works=9/10 alive=8 wheel=spin/240 crossings=400 att=27 pros=(7,-27) decoy=-3.3,-26.52
