v33 t=286.0 w9 hp=117.4/175.0 h=(0.0,-45.6) p=(16.0,-34.0) g=115 pan=490 stl=0 alive=18 wr=0 th=0 std=7 wrk=0 suit=60.0 dome=far-side-landing-yard cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
v34 t=293.1 w9 hp=117.4/175.0 h=(0.0,-34.1) p=(-9.0,-22.0) g=125 pan=500 stl=0 alive=13 wr=0 th=0 std=7 wrk=0 suit=60.0 dome=far-side-landing-yard cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
v35 t=294.3 w9 hp=117.4/175.0 h=(0.0,-34.1) p=(-3.8,-24.5) g=125 pan=500 stl=0 alive=11 wr=0 th=0 std=7 wrk=0 suit=60.0 dome=far-side-landing-yard cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
v36 t=300.0 w10 hp=117.4/175.0 h=(0.0,-44.0) p=(10.4,-35.3) g=0 pan=500 stl=0 alive=26 wr=0 th=0 std=8 wrk=0 suit=60.0 dome=far-side-landing-yard cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
v37 t=308.9 w10 hp=117.4/175.0 h=(0.0,-34.5) p=(-1.6,-35.9) g=0 pan=500 stl=0 alive=19 wr=0 th=0 std=8 wrk=0 suit=60.0 dome=far-side-landing-yard cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
v38 t=326.2 w10 hp=117.4/175.0 h=(0.0,-45.9) p=(16.0,-34.0) g=70 pan=570 stl=0 alive=11 wr=0 th=0 std=8 wrk=0 suit=60.0 dome=far-side-landing-yard cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
v39 t=330.0 w11 hp=117.4/175.0 h=(0.0,-34.9) p=(4.8,-29.4) g=70 pan=570 stl=0 alive=31 wr=0 th=0 std=8 wrk=0 suit=60.0 dome=far-side-landing-yard cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
v40 t=333.1 w11 hp=117.4/175.0 h=(0.0,-44.4) p=(-8.3,-22.4) g=70 pan=570 stl=0 alive=27 wr=0 th=0 std=8 wrk=0 suit=60.0 dome=far-side-landing-yard cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
v41 t=335.2 w11 hp=117.4/175.0 h=(0.0,-37.4) p=(-9.0,-22.0) g=80 pan=580 stl=0 alive=25 wr=0 th=0 std=8 wrk=0 suit=60.0 dome=far-side-landing-yard cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
v42 t=346.6 w11 hp=110.2/175.0 h=(0.0,-45.8) p=(-1.8,-47.1) g=5 pan=580 stl=0 alive=18 wr=0 th=0 std=9 wrk=0 suit=60.0 dome=far-side-landing-yard cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
v43 t=353.2 w11 hp=110.2/175.0 h=(0.0,-34.0) p=(-9.0,-22.0) g=55 pan=630 stl=0 alive=12 wr=0 th=0 std=9 wrk=0 suit=60.0 dome=far-side-landing-yard cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
v44 t=358.7 w11 hp=110.2/175.0 h=(0.0,-45.9) p=(9.0,-22.0) g=105 pan=680 stl=0 alive=13 wr=0 th=0 std=9 wrk=0 suit=60.0 dome=far-side-landing-yard cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
v45 t=360.0 w12 hp=110.2/175.0 h=(0.0,-46.0) p=(11.3,-27.4) g=105 pan=680 stl=0 alive=31 wr=0 th=0 std=9 wrk=0 suit=60.0 dome=far-side-landing-yard cred=3/4 win=3 cw=0 reach=1 bl=0 wh=0 probe=true
v46 t=365.6 w12 hp=103.0/175.0 h=(0.0,-15.4) p=(14.0,-38.8) g=105 pan=680 stl=0 alive=15 wr=0 th=0 std=9 wrk=0 suit=57.5 dome=null cred=3/4 win=3 cw=0 reach=1 bl=0 wh=0 probe=true
v47 t=390.0 w13 hp=95.8/175.0 h=(0.0,-41.5) p=(-0.6,-17.6) g=105 pan=680 stl=0 alive=46 wr=0 th=0 std=9 wrk=0 suit=43.2 dome=far-side-landing-yard cred=4/4 win=3 cw=1 reach=1 bl=0 wh=0 probe=true
v48 t=395.4 w13 hp=95.8/175.0 h=(0.0,-46.5) p=(14.8,-38.6) g=10 pan=680 stl=0 alive=39 wr=0 th=0 std=10 wrk=0 suit=60.0 dome=far-side-landing-yard cred=4/4 win=3 cw=1 reach=1 bl=0 wh=0 probe=true
v49 t=408.8 w13 hp=81.4/175.0 h=(12.5,-44.0) p=(11.5,-45.2) g=10 pan=680 stl=0 alive=29 wr=0 th=0 std=10 wrk=0 suit=60.0 dome=far-side-landing-yard cred=4/4 win=3 cw=1 reach=1 bl=0 wh=0 probe=true
v50 t=420.0 w14 hp=59.8/175.0 h=(16.9,-44.0) p=(0.6,-45.4) g=10 pan=680 stl=0 alive=35 wr=0 th=0 std=10 wrk=0 suit=60.0 dome=far-side-landing-yard cred=4/4 win=3 cw=1 reach=1 bl=0 wh=0 probe=true
v51 t=424.9 w14 hp=52.6/175.0 h=(-9.7,-44.0) p=(-0.8,-45.1) g=10 pan=680 stl=0 alive=19 wr=0 th=0 std=10 wrk=0 suit=60.0 dome=far-side-landing-yard cred=4/4 win=3 cw=1 reach=1 bl=0 wh=0 probe=true
v52 t=445.5 w14 hp=52.6/175.0 h=(14.6,-44.0) p=(5.8,-45.3) g=10 pan=680 stl=0 alive=13 wr=0 th=0 std=10 wrk=0 suit=60.0 dome=far-side-landing-yard cred=4/4 win=3 cw=1 reach=1 bl=0 wh=0 probe=true
v53 t=450.0 w15 hp=52.6/175.0 h=(-18.0,-44.0) p=(-2.5,-45.1) g=10 pan=680 stl=0 alive=34 wr=0 th=0 std=10 wrk=0 suit=60.0 dome=far-side-landing-yard cred=4/4 win=3 cw=1 reach=1 bl=0 wh=0 probe=true
v54 t=468.4 w15 hp=31.0/175.0 h=(19.4,-44.0) p=(0.1,-45.4) g=10 pan=680 stl=0 alive=22 wr=0 th=0 std=10 wrk=0 suit=60.0 dome=far-side-landing-yard cred=4/4 win=3 cw=1 reach=1 bl=0 wh=0 probe=true
v55 t=480.0 w16 hp=23.8/175.0 h=(20.4,-44.0) p=(0.3,-45.4) g=10 pan=680 stl=0 alive=34 wr=0 th=0 std=10 wrk=0 suit=60.0 dome=far-side-landing-yard cred=4/4 win=4 cw=0 reach=1 bl=0 wh=0 probe=true
v56 t=491.3 w16 hp=16.6/175.0 h=(18.2,-44.0) p=(-0.8,-45.4) g=10 pan=680 stl=0 alive=28 wr=0 th=0 std=10 wrk=0 suit=60.0 dome=far-side-landing-yard cred=4/4 win=4 cw=0 reach=1 bl=0 wh=0 probe=true
v57 t=510.0 w17 hp=2.2/175.0 h=(-13.7,-44.0) p=(-7.8,-45.1) g=10 pan=680 stl=0 alive=33 wr=0 th=0 std=10 wrk=0 suit=60.0 dome=far-side-landing-yard cred=4/4 win=4 cw=0 reach=1 bl=0 wh=0 probe=true
v58 t=512.4 w17 hp=0.0/175.0 h=(5.7,-44.0) p=(-5.0,-45.3) g=10 pan=680 stl=0 alive=30 wr=0 th=0 std=10 wrk=0 suit=60.0 dome=far-side-landing-yard cred=4/4 win=4 cw=0 reach=1 bl=0 wh=0 probe=true
