cors-probe (after): tree b2d0c3992, node v26.4.0; eight doors, every CORS entry point, called in process, no port, no live request
door | entry | env | origin | status error | allow-origin | expected | verdict
functions/api/_multiplayer.ts | inspectRoom | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_bugs.ts | postBug | droplet production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_bugs.ts | postBug | droplet production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_bugs.ts | postBug | droplet production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_bugs.ts | postBug | droplet production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_bugs.ts | postBug | droplet production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_bugs.ts | postBug | droplet production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_bugs.ts | postBug | droplet production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_bugs.ts | listBugs | droplet production | http://localhost:5188 | 404 not_found | (none) | refuse 404 (none) | ok
functions/api/_bugs.ts | listBugs | droplet production | http://127.0.0.1:5188 | 404 not_found | (none) | refuse 404 (none) | ok
functions/api/_bugs.ts | listBugs | droplet production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_bugs.ts | listBugs | droplet production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_bugs.ts | listBugs | droplet production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_bugs.ts | listBugs | droplet production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_bugs.ts | listBugs | droplet production | https://evil.example | 404 not_found | (none) | refuse 404 (none) | ok
functions/api/_bugs.ts | getBug | droplet production | http://localhost:5188 | 404 not_found | (none) | refuse 404 (none) | ok
functions/api/_bugs.ts | getBug | droplet production | http://127.0.0.1:5188 | 404 not_found | (none) | refuse 404 (none) | ok
functions/api/_bugs.ts | getBug | droplet production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_bugs.ts | getBug | droplet production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_bugs.ts | getBug | droplet production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_bugs.ts | getBug | droplet production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_bugs.ts | getBug | droplet production | https://evil.example | 404 not_found | (none) | refuse 404 (none) | ok
functions/api/_accounts.ts | requestCode | droplet production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | requestCode | droplet production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | requestCode | droplet production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_accounts.ts | requestCode | droplet production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_accounts.ts | requestCode | droplet production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | requestCode | droplet production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | requestCode | droplet production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | verifyCode | droplet production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | verifyCode | droplet production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | verifyCode | droplet production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_accounts.ts | verifyCode | droplet production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_accounts.ts | verifyCode | droplet production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | verifyCode | droplet production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | verifyCode | droplet production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | sessionStatus | droplet production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | sessionStatus | droplet production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | sessionStatus | droplet production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_accounts.ts | sessionStatus | droplet production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_accounts.ts | sessionStatus | droplet production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
