  1 t=      0 w 0 hp=  100/100 @(-180,0) g=   0 pan=   0 al= 0 st=0 wr=0 arr=false lead=0/370 tar=0 dr=0 nd=000 v=(-180,0)idle gr=[] clear 
 13 t= 180.03 w 6 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=60 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 14 t=  205.9 w 6 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=59 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 15 t= 210.03 w 7 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=60 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 16 t=  211.9 w 7 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=58 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear 
 17 t=  218.4 w 7 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=59 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] telegraph FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 18 t= 229.87 w 7 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=58 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] storm FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 19 t= 240.03 w 8 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=60 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 20 t= 241.83 w 8 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=58 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear 
 21 t= 255.33 w 8 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=59 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] storm FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 22 t= 269.33 w 8 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=56 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 23 t= 270.03 w 9 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=60 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear 
 24 t= 279.83 w 9 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=58 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] telegraph FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 25 t= 295.33 w 9 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=54 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 26 t=    300 w10 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=60 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 27 t= 313.27 w10 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=59 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] storm FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 28 t= 328.17 w10 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=52 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 29 t=    330 w11 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=60 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear 
 30 t=  347.8 w11 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=59 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] storm FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 31 t=    360 w12 hp=  117/125 @(190.71,0) g=  30 pan=  30 al=57 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 32 t=    360 w12 hp=  117/125 @(190.71,0) g=  30 pan=  30 al=57 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
