[WebServer] (node:72744) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
[WebServer] (Use `node --trace-warnings ...` to show where the warning was created)

Running 4 tests using 1 worker

(node:72745) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
(Use `node --trace-warnings ...` to show where the warning was created)
[f1577-3-sweep] tickBefore=35 tickDelta=58 driftAbs=0.3233589336944319 gapClosed=0.3233308099508836 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=59 driftAbs=0.3233589336944319 gapClosed=0.3233308099508836 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=60 driftAbs=0.3455835644240049 gapClosed=0.3455819618220861 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=61 driftAbs=0.3455835644240049 gapClosed=0.3455819618220861 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=62 driftAbs=0.3455835644240049 gapClosed=0.3455819618220861 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=63 driftAbs=0.3455835644240049 gapClosed=0.3455819618220861 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=64 driftAbs=0.3455835644240049 gapClosed=0.3455819618220861 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=65 driftAbs=0.3455835644240049 gapClosed=0.3455819618220861 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=66 driftAbs=0.3691950703896246 gapClosed=0.36919083655504714 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=67 driftAbs=0.3691950703896246 gapClosed=0.36919083655504714 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=68 driftAbs=0.3691950703896246 gapClosed=0.36919083655504714 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=69 driftAbs=0.3691950703896246 gapClosed=0.36919083655504714 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=70 driftAbs=0.3691950703896246 gapClosed=0.36919083655504714 timeBefore=3.0666666666666647
  ✓  1 [desktop-chrome] › e2e/f1575-1-drift-tick-budget.spec.ts:61:3 › maps denied-receipt drift at fixed start phase P=35 (2.1s)
[f1577-3-sweep] tickBefore=39 tickDelta=1 driftAbs=0.023430749027720337 gapClosed=0.023004599722353802 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=2 driftAbs=0.023430749027720337 gapClosed=0.023004599722353802 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=3 driftAbs=0.023430749027720337 gapClosed=0.023004599722353802 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=4 driftAbs=0.023430749027720337 gapClosed=0.023004599722353802 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=5 driftAbs=0.046400431032481114 gapClosed=0.04591872457361035 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=6 driftAbs=0.046400431032481114 gapClosed=0.04591872457361035 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=7 driftAbs=0.046400431032481114 gapClosed=0.04591872457361035 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=8 driftAbs=0.046400431032481114 gapClosed=0.04591872457361035 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=9 driftAbs=0.06940461079784278 gapClosed=0.06883225648511804 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=10 driftAbs=0.06940461079784278 gapClosed=0.06883225648511804 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=11 driftAbs=0.06940461079784278 gapClosed=0.06883225648511804 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=12 driftAbs=0.06940461079784278 gapClosed=0.06883225648511804 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=13 driftAbs=0.09265527507918854 gapClosed=0.09213962728030367 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=14 driftAbs=0.09265527507918854 gapClosed=0.09213962728030367 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=15 driftAbs=0.09265527507918854 gapClosed=0.09213962728030367 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=16 driftAbs=0.09265527507918854 gapClosed=0.09213962728030367 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=17 driftAbs=0.11593532679903892 gapClosed=0.11544690561443183 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=18 driftAbs=0.11593532679903892 gapClosed=0.11544690561443183 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=19 driftAbs=0.11593532679903892 gapClosed=0.11544690561443183 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=20 driftAbs=0.13867948658687812 gapClosed=0.13827232985133975 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=21 driftAbs=0.13867948658687812 gapClosed=0.13827232985133975 timeBefore=3.2999999999999976
